accession,iupac_name,name,SMILES,status,formula,mass,rdbe,category
YMDB00361,NA,5-O-(1-carboxyvinyl)-3-phosphoshikimic acid,O[C@H]1[C@@H](CC(=C[C@H]1OP(O)(O)=O)C(O)=O)OC(=C)C(O)=O,quantified,C10H13O10P1,324.0246331,5,Metabolite
YMDB00363,NA,Pyridoxal 5'-phosphate,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O,quantified,C8H10N1O6P1,247.0245735,5,Metabolite
YMDB00364,NA,L-Tyrosine,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,quantified,C9H11N1O3,181.0738932,5,Metabolite
YMDB00365,NA,Alpha-Ketoisovaleric acid,CC(C)C(=O)C(O)=O,quantified,C5H8O3,116.0473441,2,Metabolite
YMDB00367,NA,Diacetyl,CC(=O)C(C)=O,quantified,C4H6O2,86.03677943,2,Metabolite
YMDB00369,NA,L-Histidine,N[C@@H](CC1=CN=CN1)C(O)=O,quantified,C6H9N3O2,155.0694766,4,Metabolite
YMDB00371,NA,Homocysteine,NC(CCS)C(O)=O,quantified,C4H9N1O2S1,135.0353993,1,Metabolite
YMDB00374,NA,Glycineamideribotide,NCC(=O)N[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,quantified,C7H15N2O8P1,286.056602,2,Metabolite
YMDB00375,NA,L-Kynurenine,N[C@@H](CC(=O)C1=CC=CC=C1N)C(O)=O,quantified,C10H12N2O3,208.0847923,6,Metabolite
YMDB00377,NA,(S)-Ureidoglycolic acid,NC(=O)N[C@@H](O)C(O)=O,quantified,C3H6N2O4,134.0327567,2,Metabolite
YMDB00381,NA,Thiamine pyrophosphate,CC1=C(CCO[P@](O)(=O)OP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N,quantified,C12H18N4O7P2S1,424.0371427,7,Metabolite
YMDB00383,NA,Gluconic acid,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,quantified,C6H12O7,196.0583027,1,Metabolite
YMDB00384,NA,2-Oxo-3-hydroxy-4-phosphobutanoic acid,O[C@H](COP(O)(O)=O)C(=O)C(O)=O,quantified,C4H7O8P1,213.9878537,2,Metabolite
YMDB00385,NA,Formic acid,OC=O,quantified,C1H2O2,46.0054793,1,Adduct
YMDB00388,NA,Ketoleucine,CC(C)CC(=O)C(O)=O,quantified,C6H10O3,130.0629942,2,Metabolite
YMDB00389,NA,CDP-Ethanolamine,NCCOP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(N)=NC1=O,quantified,C11H20N4O11P2,446.0603805,5,Metabolite
YMDB00390,NA,3-Dehydroshikimic acid,O[C@@H]1CC(=CC(=O)[C@H]1O)C(O)=O,quantified,C7H8O5,172.0371734,4,Metabolite
YMDB00392,NA,Pyridoxal,CC1=NC=C(CO)C(C=O)=C1O,quantified,C8H9N1O3,167.0582432,5,Metabolite
YMDB00393,NA,Phosphohydroxypyruvic acid,OC(=O)C(=O)COP(O)(O)=O,quantified,C3H5O7P1,183.977289,2,Metabolite
YMDB00395,NA,Palmitaldehyde,CCCCCCCCCCCCCCCC=O,quantified,C16H32O1,240.2453156,1,Metabolite
YMDB00396,NA,L-Dihydroorotic acid,OC(=O)[C@@H]1CC(=O)NC(=O)N1,quantified,C5H6N2O4,158.0327567,4,Metabolite
YMDB00397,NA,Pyridoxamine 5'-phosphate,CC1=NC=C(COP(O)(O)=O)C(CN)=C1O,quantified,C8H13N2O5P1,248.056208,4,Metabolite
YMDB00398,NA,2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,O[C@@H]1[C@H](O)[C@@H](OP(O)(O)=O)O[C@H]1NC(=N)NC=O,quantified,C6H12N3O8P1,285.0362009,3,Metabolite
YMDB00400,NA,4-Phosphopantothenoylcysteine,CC(C)(COP(O)(O)=O)[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(O)=O,quantified,C12H23N2O9P1S1,402.0861876,3,Metabolite
YMDB00401,NA,Porphobilinogen,NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1,quantified,C10H14N2O4,226.0953569,5,Metabolite
YMDB00402,NA,Phosphoribosyl pyrophosphate,O[C@H]1[C@@H](O)[C@@H](O[P@](O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O,quantified,C5H13O14P3,389.9518146,1,Metabolite
YMDB00403,NA,5-Diphosphomevalonic acid,C[C@@](O)(CCOP(O)(=O)OP(O)(O)=O)CC(O)=O,quantified,C6H14O10P2,308.0062196,1,Metabolite
YMDB00404,NA,"(2-trans,6-trans)-Farnesol",CC(C)=CCC\C(C)=C\CC\C(C)=C\CO,quantified,C15H26O1,222.1983655,3,Metabolite
YMDB00405,NA,Orotic acid,OC(=O)C1=CC(=O)NC(=O)N1,quantified,C5H4N2O4,156.0171066,5,Metabolite
YMDB00406,NA,Cytidine monophosphate,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,quantified,C9H14N3O8P1,323.0518509,5,Metabolite
YMDB00407,NA,Pyridoxine 5'-phosphate,CC1=NC=C(COP(O)(O)=O)C(CO)=C1O,quantified,C8H12N1O6P1,249.0402236,4,Metabolite
YMDB00410,NA,(R)-Acetoin,C[C@@H](O)C(C)=O,quantified,C4H8O2,88.0524295,1,Metabolite
YMDB00413,NA,"(R,R)-butane-2,3-diol",C[C@@H](O)[C@@H](C)O,quantified,C4H10O2,90.06807956,0,Metabolite
YMDB00421,NA,4-Methylthio-2-oxobutanoate,CSCCC(=O)C(O)=O,quantified,C5H8O3S1,148.0194148,2,Metabolite
YMDB00424,NA,"2,5-Diamino-6-(5-phosphono)ribitylamino-4(3H)-pyrimidinone",NC1=NC(NC[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)=C(N)C(=O)N1,quantified,C9H18N5O8P1,355.0892991,4,Metabolite
YMDB00426,NA,NADPH,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,quantified,C21H30N7O17P3,745.091102,12,Metabolite
YMDB00437,NA,"2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone",COC1=CC(=O)C(C)=C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)C1=O,quantified,C38H56O3,560.4229457,11,Metabolite
YMDB00442,NA,2-Isopropylmaleic acid,CC(C)C(=C\C(O)=O)\C(O)=O,quantified,C7H10O4,158.0579088,3,Metabolite
YMDB00446,NA,propionyl-CoA,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C24H40N7O17P3S1,823.1414231,10,Metabolite
YMDB00451,NA,dAMP,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1,quantified,C10H14N5O6P1,331.0681697,7,Metabolite
YMDB00452,NA,"3',5'-cyclic dAMP",NC1=C2N=CN([C@H]3C[C@@H]4OP(O)(=O)OC[C@H]4O3)C2=NC=N1,quantified,C10H12N5O5P1,313.057605,8,Metabolite
YMDB00453,NA,"3',5'-cyclic IMP",O[C@H]1[C@@H](O[C@@H]2COP(O)(=O)O[C@@H]12)N1C=NC2=C(O)N=CN=C12,quantified,C10H11N4O7P1,330.0365352,8,Metabolite
YMDB00454,NA,"3',5'-cyclic GMP",NC1=NC2=C(N=CN2[C@@H]2O[C@@H]3COP(O)(=O)O[C@H]3[C@H]2O)C(=O)N1,quantified,C10H12N5O7P1,345.0474343,8,Metabolite
YMDB00455,NA,"3',5'-cyclic CMP",NC1=NC(=O)N(C=C1)[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O,quantified,C9H12N3O7P1,305.0412862,6,Metabolite
YMDB00456,NA,2-Hydroxy-3-oxobutyl phosphate,CC(=O)C(O)COP(O)(O)=O,quantified,C4H9O6P1,184.0136745,1,Metabolite
YMDB00457,NA,3-(4-hydroxyphenyl)lactic acid,OC(CC1=CC=C(O)C=C1)C(O)=O,quantified,C9H10O4,182.0579088,5,Metabolite
YMDB00460,NA,"3-Hexaprenyl-4,5-dihydroxybenzoic acid",CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC1=C(O)C(O)=CC(=C1)C(O)=O,quantified,C37H54O4,562.4022102,11,Metabolite
YMDB00461,NA,3-Hexaprenyl-4-hydroxy-5-methoxybenzoic acid,COC1=CC(=CC(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C1O)C(O)=O,quantified,C38H56O4,576.4178603,11,Metabolite
YMDB00463,NA,trans-dec-2-enoyl-CoA,CCCCCCC\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C31H52N7O17P3S1,919.2353235,11,Metabolite
YMDB00464,NA,(S)-3-hydroxydecanoyl-CoA,CCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C31H54N7O18P3S1,937.2458882,10,Metabolite
YMDB00465,NA,(S)-3-hydroxylauroyl-CoA,CCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C33H58N7O18P3S1,965.2771883,10,Metabolite
YMDB00467,NA,trans-hexacos-2-enoyl-CoA,CCCCCCCCCCCCCCCCCCCCCCC\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C47H84N7O17P3S1,1143.485724,11,Metabolite
YMDB00468,NA,(S)-3-hydroxypalmitoyl-CoA,CCCCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C37H66N7O18P3S1,1021.339789,10,Metabolite
YMDB00469,NA,hexadec-2-enoyl-CoA,[H]C(CCCCCCCCCCCCC)=CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C37H64N7O17P3S1,1003.329224,11,Metabolite
YMDB00470,NA,trans-octadec-2-enoyl-CoA,CCCCCCCCCCCCCCC\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C39H68N7O17P3S1,1031.360524,11,Metabolite
YMDB00471,NA,3-hydroxyoctadecanoyl-CoA,CCCCCCCCCCCCCCCC(O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C39H70N7O18P3S1,1049.371089,10,Metabolite
YMDB00472,NA,trans-tetradec-2-enoyl-CoA,CCCCCCCCCCC\C=C\C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C35H60N7O17P3S1,975.2979237,11,Metabolite
YMDB00473,NA,(S)-3-hydroxytetradecanoyl-CoA,CCCCCCCCCCC[C@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C35H62N7O18P3S1,993.3084884,10,Metabolite
YMDB00475,NA,3-oxolauroyl-CoA,CCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C33H56N7O18P3S1,963.2615382,11,Metabolite
YMDB00476,NA,3-oxopalmitoyl-CoA,CCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C37H64N7O18P3S1,1019.324138,11,Metabolite
YMDB00477,NA,3-oxooctadecanoyl-CoA,CCCCCCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C39H68N7O18P3S1,1047.355439,11,Metabolite
YMDB00478,NA,3-oxotetradecanoyl-CoA,CCCCCCCCCCCC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12,quantified,C35H60N7O18P3S1,991.2928384,11,Metabolite
YMDB00481,NA,3-hydroxy-2-isopropyl-4-methoxy-4-oxobutanoate,COC(=O)C(O)C(C(C)C)C(O)=O,quantified,C8H14O5,190.0841235,2,Metabolite
YMDB00482,NA,isobutyraldehyde,CC(C)C=O,quantified,C4H8O1,72.05751488,1,Metabolite
YMDB00485,NA,2-Methylbutanal,CCC(C)C=O,quantified,C5H10O1,86.07316494,1,Metabolite
YMDB00494,NA,4-Hydroxy-L-threonine,N[C@@H]([C@H](O)CO)C(O)=O,quantified,C4H9N1O4,135.0531578,1,Metabolite
YMDB00495,NA,4-Hydroxybenzoic acid,OC(=O)C1=CC=C(O)C=C1,quantified,C7H6O3,138.0316941,5,Metabolite
YMDB00496,NA,4-hydroxybenzoyl-CoA,CC(C)(CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C1=CC=C(O)C=C1,quantified,C28H40N7O18P3S1,887.1363377,14,Metabolite
YMDB00497,NA,4-Coumaroyl-CoA,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)C=CC1=CC=C(O)C=C1,quantified,C30H42N7O18P3S1,913.1519878,15,Metabolite
YMDB00498,NA,trans-4-Coumaric acid,OC(=O)\C=C\C1=CC=C(O)C=C1,quantified,C9H8O3,164.0473441,6,Metabolite
YMDB00500,NA,Myo-Inositol hexakisphosphate,OP(O)(=O)O[C@H]1[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H]1OP(O)(O)=O,quantified,C6H18O24P6,659.8613704,1,Metabolite
YMDB00504,NA,2'-Deoxycytidine,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1,quantified,C9H13N3O4,227.0906059,5,Metabolite
YMDB00507,NA,Thymidine,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,quantified,C10H14N2O5,242.0902716,5,Metabolite
YMDB00508,NA,2'-Deoxyuridine,OC[C@H]1OC(C[C@@H]1O)N1C=CC(=O)NC1=O,quantified,C9H12N2O5,228.0746215,5,Metabolite
YMDB00509,NA,Guanosine,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,quantified,C10H13N5O5,283.0916686,7,Metabolite
YMDB00511,NA,xanthosine,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=C(O)N=C2O,quantified,C10H12N4O6,284.0756841,7,Metabolite
YMDB00514,NA,Succinyl-CoA,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(O)=O,quantified,C25H40N7O19P3S1,867.1312523,11,Metabolite
YMDB00515,NA,"(6R)-5,10-Methenyltetrahydrofolic acid",[H][C@@]12CN(C=[N+]1C1=C(NC2)N=C(N)NC1=O)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O,quantified,C20H21N7O6,455.1553315,14,Metabolite
YMDB00518,NA,5-Methyltetrahydropteroyltri-L-glutamic acid,CN1[C@@H](CNC2=CC=C(C=C2)C(=O)N[C@@H](CCC(=O)N[C@@H](CCC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)CNC2=C1C(=O)N=C(N)N2,quantified,C30H39N9O12,717.2718178,16,Metabolite
YMDB00521,NA,"5,6-Bis(diphospho)-1D-myo-inositol tetrakisphosphate",OP(O)(=O)O[C@H]1[C@@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(=O)OP(O)(O)=O)[C@@H](OP(O)(=O)OP(O)(O)=O)[C@@H]1OP(O)(O)=O,quantified,C6H20O30P8,819.7940312,1,Metabolite
YMDB00525,NA,pimeloyl-CoA,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCCCC(O)=O,quantified,C28H46N7O19P3S1,909.1782025,11,Metabolite
YMDB00529,NA,acetoacetyl-CoA,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C25H40N7O18P3S1,851.1363377,11,Metabolite
YMDB00530,NA,lauroyl-CoA,CCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12,quantified,C33H58N7O17P3S1,949.2822737,10,Metabolite
YMDB00531,NA,octanoyl-CoA,CCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C29H50N7O17P3S1,893.2196734,10,Metabolite
YMDB00532,NA,decanoyl-CoA,CCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C31H54N7O17P3S1,921.2509735,10,Metabolite
YMDB00533,NA,malonyl-CoA,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O,quantified,C24H38N7O19P3S1,853.1156023,11,Metabolite
YMDB00534,NA,Riboflavin,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,quantified,C17H20N4O6,376.1382844,10,Metabolite
YMDB00537,NA,hexacosanoyl-CoA,CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C47H86N7O17P3S1,1145.501375,10,Metabolite
YMDB00538,NA,stearoyl-CoA,CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,quantified,C39H70N7O17P3S1,1033.376174,10,Metabolite
YMDB00541,NA,episteryl oleate,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)[C@@]([H])(CC=C3[C@]4([H])CC[C@]([H])([C@H](C)CCC(=C)C(C)C)[C@@]4(C)CC[C@]23[H])C1,quantified,C46H78O2,662.6001817,8,Metabolite
YMDB00542,NA,ergosteryl oleate,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC=C3[C@]4([H])CC[C@]([H])([C@H](C)\C=C\[C@H](C)C(C)C)[C@@]4(C)CC[C@]23[H])C1,quantified,C46H76O2,660.5845317,9,Metabolite
YMDB00543,NA,ergosterol,CC(C)[C@@H](C)\C=C\[C@@H](C)[C@@]1([H])CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C,quantified,C28H44O1,396.339216,7,Metabolite
YMDB00546,NA,lanosteryl oleate,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3=C(CC[C@@]2([H])C1(C)C)[C@]1(C)CC[C@]([H])([C@H](C)CCC=C(C)C)[C@@]1(C)CC3,quantified,C48H82O2,690.6314819,8,Metabolite
YMDB00548,NA,zymosterol,[H][C@@](C)(CCC=C(C)C)[C@@]1([H])CC[C@@]2([H])C3=C(CC[C@]12C)[C@@]1(C)CC[C@H](O)C[C@]1([H])CC3,quantified,C27H44O1,384.339216,6,Metabolite
YMDB00549,NA,zymosteryl oleate,CCCCCCCC\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3=C(CC[C@@]2([H])C1)[C@]1([H])CC[C@]([H])([C@H](C)CCC=C(C)C)[C@@]1(C)CC3,quantified,C45H76O2,648.5845317,8,Metabolite
YMDB00550,NA,episteryl palmitoleate,CCCCCC\C=C/CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)[C@@]([H])(CC=C3[C@]4([H])CC[C@]([H])([C@H](C)CCC(=C)C(C)C)[C@@]4(C)CC[C@]23[H])C1,quantified,C44H74O2,634.5688816,8,Metabolite
YMDB00551,NA,ergosteryl palmitoleate,CCCCCC\C=C/CCCCCCCC(=O)O[C@H]1CC[C@@]2(C)C(=CC=C3[C@]4([H])CC[C@]([H])([C@H](C)\C=C\[C@H](C)C(C)C)[C@@]4(C)CC[C@]23[H])C1,quantified,C44H72O2,632.5532315,9,Metabolite
YMDB00554,NA,zymosteryl palmitoleate,CCCCCC\C=C/CCCCCCCC(=O)O[C@H]1CC[C@]2(C)C3=C(CC[C@@]2([H])C1)[C@]1([H])CC[C@]([H])([C@H](C)CCC=C(C)C)[C@@]1(C)CC3,quantified,C43H72O2,620.5532315,8,Metabolite
YMDB00555,NA,Hypoxanthine,OC1=NC=NC2=C1NC=N2,quantified,C5H4N4O1,136.0385108,6,Metabolite
YMDB00559,NA,ITP,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O,quantified,C10H15N4O14P3,507.9797607,7,Metabolite
YMDB00562,NA,5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide,NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,quantified,C9H15N4O8P1,338.06275,5,Metabolite
YMDB00565,NA,"2',3'-cyclic AMP",NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](CO)[C@H]2OP(O)(=O)O[C@@H]12,quantified,C10H12N5O6P1,329.0525196,8,Metabolite
YMDB00567,NA,2-methylbutan-1-ol,CCC(C)CO,quantified,C5H12O1,88.088815,0,Metabolite
YMDB00568,NA,2-Methylbutyl acetate,CCC(C)COC(C)=O,quantified,C7H14O2,130.0993797,1,Metabolite
YMDB00572,NA,isobutyl acetate,CC(C)COC(C)=O,quantified,C6H12O2,116.0837296,1,Metabolite
YMDB00573,NA,isobutanol,CC(C)CO,quantified,C4H10O1,74.07316494,0,Metabolite
YMDB00576,NA,indole-3-acetate,OC(=O)CC1=CNC2=C1C=CC=C2,quantified,C10H9N1O2,175.0633285,7,Metabolite
YMDB00577,NA,tryptophol,OCCC1=CNC2=CC=CC=C12,quantified,C10H11N1O1,161.084064,6,Metabolite
YMDB00578,NA,"7,8-dihydroneopterin 3'-triphosphate",NC1=NC2=C(N=C(CN2)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(=O)N1,quantified,C9H16N5O13P3,494.9957451,6,Metabolite
YMDB00579,NA,"7,8-Dihydroneopterin",NC1=NC2=C(N=C(CN2)[C@H](O)[C@H](O)CO)C(=O)N1,quantified,C9H13N5O4,255.0967539,6,Metabolite
YMDB00581,NA,alpha-D-mannosyl-beta-D-mannosyldiacetylchitobiosyldiphosphodolichol,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](CO)O[C@@H](O[C@H]3[C@H](O)[C@@H](NC(C)=O)[C@@H](O[C@@H]3CO)O[C@H]3[C@H](O)[C@@H](NC(=O)C)[C@H](O[C@@H]3CO)OP(=O)(O)OP(=O)(O)OCCC(C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(\C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(\C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)[C@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O,quantified,C128H212N2O27P2,2271.475273,25,Metabolite
YMDB00586,NA,4-guanidinobutanamide,NC(=O)CCCNC(N)=N,quantified,C5H12N4O1,144.101111,2,Metabolite
YMDB00587,NA,4-aminobutanal,NCCCC=O,quantified,C4H9N1O1,87.06841392,1,Metabolite
YMDB00591,NA,L-arabinitol,OC[C@H](O)C(O)[C@@H](O)CO,quantified,C5H12O5,152.0684735,0,Metabolite
YMDB00592,NA,L-Arginine,N[C@@H](CCCNC(N)=N)C(O)=O,quantified,C6H14N4O2,174.1116757,2,Metabolite
YMDB00596,NA,Iminoaspartic acid,OC(=O)CC(=N)C(O)=O,quantified,C4H5N1O4,131.0218577,3,Metabolite
